Song Name,Spotify Link,Album Art Link
mohabbat bhi jhoothi mukesh,https://open.spotify.com/track/4LABao9yb34GfjbrJdp1Gb,https://i.scdn.co/image/ab67616d0000b273abdad47634b0d1f6dc723251
i believe frankielaine,https://open.spotify.com/track/3FzkbFgVGdg4zqyCMzUPM7,https://i.scdn.co/image/ab67616d0000b273e193efeea55d100fad133fce
cry johnnieray,https://open.spotify.com/track/4wnFpRgQu2gLN8d76dYOGr,https://i.scdn.co/image/ab67616d0000b27320b60e3979d942241c933294
patricia pérezprado,https://open.spotify.com/track/2bwhOdCOLgQ8v6xStAqnju,https://i.scdn.co/image/ab67616d0000b2733c5cd1123694baa75c07138d
apopse eida oneiro giorgospapadopoulos,https://open.spotify.com/track/4ca9GU42IT0yopmYwua3J9,https://i.scdn.co/image/ab67616d0000b273684f5e49640a3d2ff51a50b8
round and round (with mitchell ayres and his orchestra & the ray charles singers) perrycomo,https://open.spotify.com/track/1pBJCt9keWDrIQYu51T6py,https://i.scdn.co/image/ab67616d0000b273c143b8172ccb7ac602cffec5
opm medley: when i met you freestyle,https://open.spotify.com/track/0hULMf7oqrHYIFh3fh4nFa,https://i.scdn.co/image/ab67616d0000b2731d7b563b9f5e0db7e8d43f21
it's not for me to say johnnymathis,https://open.spotify.com/track/4lFXv6eBek6kEiGYzh2mH2,https://i.scdn.co/image/ab67616d0000b273a7ff25855e1f5a865abf2fa8
klapse me mana klapse me stélioskazantzídis,https://open.spotify.com/track/7AaxFtkinG6n5fw6ZUuxHE,https://i.scdn.co/image/ab67616d0000b273312506645d3f6bdddebf656d
finito la mouzika stélioskazantzídis,https://open.spotify.com/track/0U9BVDV0WUlco6BG6739wN,https://i.scdn.co/image/ab67616d0000b2737241c24bb4b43be23015a64b
"drømmer man om den, vågner.. livaweel",https://open.spotify.com/track/55Zk2CgSbEvxl8mBoi8UJH,https://i.scdn.co/image/ab67616d0000b27331813ce917d36d7945b128d9
carolina moon thechordettes,https://open.spotify.com/track/68UrAEx70Iee82h1ULgZVz,https://i.scdn.co/image/ab67616d0000b27320bfa6114be3fcada3b5b3e3
necessary evil frankielaine,https://open.spotify.com/track/6Rt9GlwZEDU0V3vhXrUNqJ,https://i.scdn.co/image/ab67616d0000b273d343f301ecbf409d032da616
kanugona galano ghantasala,https://open.spotify.com/track/4nl7z3O08qHAmyfv3FPVHA,https://i.scdn.co/image/ab67616d0000b2733903aabcdfaddd820394504f
the carioca lespaul,https://open.spotify.com/track/2CHaY7k5WJ4E1U06FRarbx,https://i.scdn.co/image/ab67616d0000b2733903aabcdfaddd820394504f
chicken reel lespaul,https://open.spotify.com/track/4z0t30MrGULjqkmDIk7Rv7,https://i.scdn.co/image/ab67616d0000b27341b1c6dc6c45d5cc69bdbec2
blue skies lespaul,https://open.spotify.com/track/47kmWSOz5KwFfo9S0DEpNR,https://i.scdn.co/image/ab67616d0000b27341b1c6dc6c45d5cc69bdbec2
dark eyes lespaul,https://open.spotify.com/track/3uVbJcUnYacOFWeCfS8cGj,https://i.scdn.co/image/ab67616d0000b27372fc68906dcb064bc4837817
kotha mukunda ashabhosle,https://open.spotify.com/track/2P7oyMgABQnLs7X5OLPe8X,https://i.scdn.co/image/ab67616d0000b27381c79777aa54ad14e6685d64
awaz deta hai sola ka din ashabhosle,https://open.spotify.com/track/3ci9YeXRulpmFPDvqneVwc,https://i.scdn.co/image/ab67616d0000b27381c79777aa54ad14e6685d64
jahan men log sachhe ashikon ko mohammedrafi,https://open.spotify.com/track/3ci9YeXRulpmFPDvqneVwc,https://i.scdn.co/image/ab67616d0000b273e129648f72d605af7ae436a9
avanee nee pathi ghantasala,https://open.spotify.com/track/42u2P9ex0WOXSosKJTbbbT,https://i.scdn.co/image/ab67616d0000b273af2b4a495a54b146ee1dccab
ee jagamantha natika ghantasala,https://open.spotify.com/track/5vAQyu9ycz7XeumHtBzUSp,https://i.scdn.co/image/ab67616d0000b27369e593689c50e5fd78d2af8d
smoke rings lespaul,https://open.spotify.com/track/6afQyDHXp0KCyw1O6tSdeG,https://i.scdn.co/image/ab67616d0000b273f95f597fff2ab36cd54ee0aa
hum tujhse mohabbat kar ke mukesh,https://open.spotify.com/track/16xOPtcESEwfA2ZicN4aNE,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21
paas nahin aaiye haath na lagaiye latamangeshkar,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b27353f9071f9a11ae16bc9aea73
main na janoon latamangeshkar,https://open.spotify.com/track/6RIhQiAZA8a3Q9QRmROaFQ,https://i.scdn.co/image/ab67616d0000b27336167a5cd027970d0f25acc9
gullyachi shapath ashabhosle,https://open.spotify.com/track/2geQ0AgX51fnF8ocLInkfZ,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21
judai ki khabar hoti agar latamangeshkar,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21
maagata maagata janm gele latamangeshkar,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b273dae56c1d097ca83ab08b1db8
chupke chupke (from ''paying guest'') latamangeshkar,https://open.spotify.com/track/7mOqbIm21vaSQWYYjzKCfK,https://i.scdn.co/image/ab67616d0000b2739641a53a209b3aba0185de02
chahe kitna mujhe tum bulao ji ashabhosle,https://open.spotify.com/track/2UU4ALDWrARtEvD3yfhRUZ,https://i.scdn.co/image/ab67616d0000b27381c79777aa54ad14e6685d64
tu bol na bol ashabhosle,https://open.spotify.com/track/0u8wprNfOdcWpUlWnfMcpP,https://i.scdn.co/image/ab67616d0000b273ba70bf6f40bf97f8644562a9
raat andheri door savera mukesh,https://open.spotify.com/track/5PVY6Y8UW8KBzcZYCwhr3q,https://i.scdn.co/image/ab67616d0000b273fee4bd511d80f01c9d2987bf
thunintha pin ghantasala,https://open.spotify.com/track/0eOL2cS9NemSsm1DvlOSko,https://i.scdn.co/image/ab67616d0000b273e139611dc422fb2346ef3f1f
i'm sitting on top of the world lespaul,https://open.spotify.com/track/1hwRl3b0RGexUjpYuRyKHX,https://i.scdn.co/image/ab67616d0000b273e139611dc422fb2346ef3f1f
the world is waiting for the sunrise lespaul,https://open.spotify.com/track/36JEJ923q81GkE88VP5WAD,https://i.scdn.co/image/ab67616d0000b273b40255af4f60a1cbef74457f
ethanai periya t.m.soundararajan,https://open.spotify.com/track/4d9xcryUv5NjTSEMgxFKME,https://i.scdn.co/image/ab67616d0000b2730fcd8746bd3fcb9cd4e7d88b
ansoo to nahin hai ankhon men talatmahmood,https://open.spotify.com/track/4GYM4WRBneNjLs8LaFNUiZ,https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356
it's the most wonderful time of the year andywilliams,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21
chandan ka palna resham ko dori latamangeshkar,https://open.spotify.com/track/2QT3N16dYd2xAuzYmRRRMb,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21
le chal ri nindiya le chal hamen latamangeshkar,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b273af5da5bb6f2b37f6c2f5cb80
after you've gone frankielaine,https://open.spotify.com/track/73SLdRn1IbciLWyK4e2d8p,https://i.scdn.co/image/ab67616d0000b27329fc8f5c12bdaeb322cbbd80
mere hamsafar tujhe kya khabar ashabhosle,https://open.spotify.com/track/4BoFJMLSO3ZoD48KgnslSe,https://i.scdn.co/image/ab67616d0000b273d0616eb9065ff79ed76a8563
viljen i veta (would you like to know?) sven-bertiltaube,https://open.spotify.com/track/6j0kjmZCbPW9JNoyrEnWZM,https://i.scdn.co/image/ab67616d0000b2735980cda6de8365d077f34a5e
blue velvet bobbyvinton,https://open.spotify.com/track/4QelFzhVgLomeQhvKrwM1S,https://i.scdn.co/image/ab67616d0000b2733466a3ad58d1029ac7ac9c33
poema loshermanosarriagada,https://open.spotify.com/track/70pgnFns8UgV5bA6h0aIH9,https://i.scdn.co/image/ab67616d0000b2732a8c6f8bb79e6b1bbdbe4119
the bells of st. mary's thedrifters,https://open.spotify.com/track/2W7S8BIesug04Wr1AdAalQ,https://i.scdn.co/image/ab67616d0000b27361ebbe41a5f1a4074e94ead2
for me and my gal thechordettes,https://open.spotify.com/track/01thC2bujpFoShWdK9MWt5,https://i.scdn.co/image/ab67616d0000b2737ca82d89b6a0972696516080
mark twain harrybelafonte,https://open.spotify.com/track/6nrgscxafgSOEtDKdSlwea,https://i.scdn.co/image/ab67616d0000b273cbb4e4be8129e8bbe13c3029
the next big river harrybelafonte,https://open.spotify.com/track/4fHDlIntTsRGSyTg5UYZYC,https://i.scdn.co/image/ab67616d0000b273f19431eb891ce6b051429373
sitaron ki mehfil saji latamangeshkar,https://open.spotify.com/track/4CxanJfXYXqRxu2Yma7NGU,https://i.scdn.co/image/ab67616d0000b2735c46c7793afcb860a6da2602
gopiparivrito a.m.rajah,https://open.spotify.com/track/2b8vt1Bq5CEioTvBfUqAqp,https://i.scdn.co/image/ab67616d0000b273f175145b296241ecaf1f6b13
you're the cream in my coffee jonahjones,https://open.spotify.com/track/7G8tqMRPB78mArUoozLcrV,https://i.scdn.co/image/ab67616d0000b273a60e3d480549fb60719a10cc
kabhi khamosh rahte hain latamangeshkar,https://open.spotify.com/track/418v2RdbaHUOdWJt5AzOMP,https://i.scdn.co/image/ab67616d0000b273b348db1caa9347eb98fe6b93
khanke to khanke mohammedrafi,https://open.spotify.com/track/2QduffmP1CwjJ6kAA5hkUk,https://i.scdn.co/image/ab67616d0000b2735a1866190313095228de9f4d
here am i johnnieray,https://open.spotify.com/track/3sT9XXvQO2o5lJRDFOHzso,https://i.scdn.co/image/ab67616d0000b2733d3e14345b891f0c3790593d
brazil lespaul,https://open.spotify.com/track/0nghE8iUqF4SkTaMqQNxiG,https://i.scdn.co/image/ab67616d0000b2738c77629ecb8bf6c32e0c6f51
"baby, won't you please come home lespaul",https://open.spotify.com/track/4t7dmKHyQAQzzCesSMaJIr,https://i.scdn.co/image/ab67616d0000b273de5ffefed843585a7c65c875
jezebel frankielaine,https://open.spotify.com/track/6SYQwsOxHW5uUYjUpOKtIC,https://i.scdn.co/image/ab67616d0000b2739060a2c0a01366ee03274597
two hound dogs billhaley&hiscomets,https://open.spotify.com/track/4FDJVPx1lQnwtZm2HWjOFv,https://i.scdn.co/image/ab67616d0000b273805c5fb55eb96caf9fdec21c
sleep lespaul,https://open.spotify.com/track/2Xe4jvlenj6GBNK8RYjtEG,https://i.scdn.co/image/ab67616d0000b27349ba284ef0f5b658421d67b6
mera dil yeh pukare aaja latamangeshkar,https://open.spotify.com/track/6bJmYR0sjTZNJxwdw52ern,https://i.scdn.co/image/ab67616d0000b27348bea8583b05aee409e27934
to you my love tedheath,https://open.spotify.com/track/6pCPpqp3C2q9oqfT3wlKHm,https://i.scdn.co/image/ab67616d0000b27362147c81761ae1dfe0063b67
believe in me tedheath,https://open.spotify.com/track/7q74lDbsPKSGMdRizk4wel,https://i.scdn.co/image/ab67616d0000b2733178af904273ff5591e4cb78
take the “a” train tedheath,https://open.spotify.com/track/0K1FA516PJiTXMztsml17k,https://i.scdn.co/image/ab67616d0000b2739060a2c0a01366ee03274597
pahuni raghunandan savala latamangeshkar,https://open.spotify.com/track/27fkbegxJPGdmbWgc4V3FK,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21
come rock with me billhaley&hiscomets,https://open.spotify.com/track/1uRKT2LRANv4baowBWHfDS,https://i.scdn.co/image/ab67616d0000b273a8126ae8629a70395ec4f575
antar mantar jantar latamangeshkar,https://open.spotify.com/track/6FZrX6epdqcaQHx9LFRcuf,https://i.scdn.co/image/ab67616d0000b273e5a3d1258466fac94bfd755f
kahan se yeh sholon ka toofan aaya latamangeshkar,https://open.spotify.com/track/4aZ428dOn67xa2i02kDmru,https://i.scdn.co/image/ab67616d0000b273cd7530409d09802935c840f9
temptation theplatters,https://open.spotify.com/track/0S8ibKBl3tjRmYbZhGHNhG,https://i.scdn.co/image/ab67616d0000b2735e3b143a43c2a65158a59a94
unchained melody harrybelafonte,https://open.spotify.com/track/0OavtQSojULqejmC4Qbstr,https://i.scdn.co/image/ab67616d0000b2733be56fc968ce12e07f4caae6
on my word of honor theplatters,https://open.spotify.com/track/55qDgsYwCX2IMK1Y2H1819,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
just my imagination (running away with me) peteyorn,https://open.spotify.com/track/39Bd345OWEhRNyfayhp9gv,https://i.scdn.co/image/ab67616d0000b2732d24252fe828cfa642417462
don't you know i love you theclovers,https://open.spotify.com/track/2S9avNgOA00cN7LsbLnhKq,https://i.scdn.co/image/ab67616d0000b273cbc5ae09e919dcec56800ba4
"love, your magic spell is everywhere johnnymathis",https://open.spotify.com/track/1BZF3b1vFsq7vvWaarXvuy,https://i.scdn.co/image/ab67616d0000b2735e3b143a43c2a65158a59a94
heart of stone theplatters,https://open.spotify.com/track/1Dk0utBkdfnt2HDvGtUYxb,https://i.scdn.co/image/ab67616d0000b273cbc5ae09e919dcec56800ba4
have mercy theplatters,https://open.spotify.com/track/0eADVPWd23k0cZqR5lGNVQ,https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95
you've changed theplatters,https://open.spotify.com/track/7t5RNGsd9edVd0Bm0vj7wQ,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
i do adore her harrybelafonte,https://open.spotify.com/track/008wkJY1GYw0177yFVCM2j,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
"ciao, ciao, bambina jerryvale",https://open.spotify.com/track/1JKG6hRuV3pgKRi4z2ZGVq,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
non dimenticar jerryvale,https://open.spotify.com/track/745QqkGycvkfs39WwvOYoM,https://i.scdn.co/image/ab67616d0000b273c36aac484c9e16b24c6d4ba5
al di la jerryvale,https://open.spotify.com/track/6FzbuIuaN4bJzmik5bQxhj,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
matilda harrybelafonte,https://open.spotify.com/track/4lUzRhikhXN2GphkZCADzX,https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95
devil or angel theclovers,https://open.spotify.com/track/3CRDbEEHB4hMOKuPj9fwSO,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
hosanna harrybelafonte,https://open.spotify.com/track/7rDYN6KQ0hd8kXlX2uiBYt,https://i.scdn.co/image/ab67616d0000b2735e3b143a43c2a65158a59a94
volare (nel blu dipinto di blu) jerryvale,https://open.spotify.com/track/2NfFvKV8SK7hQyETFLeFAG,https://i.scdn.co/image/ab67616d0000b2732d24252fe828cfa642417462
why should i theplatters,https://open.spotify.com/track/7fLWB75TtWgRMr0VRclL2F,https://i.scdn.co/image/ab67616d0000b273193652396e0edf5439f87226
in other words (fly me to the moon) johnnymathis,https://open.spotify.com/track/5b7OgznPJJr1vHNYGyvxau,https://i.scdn.co/image/ab67616d0000b2731946f4ef9260e9656376d020
i'll never be free lavernbaker,https://open.spotify.com/track/0APsCey3cpfu9JhptH0orA,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
remember when theplatters,https://open.spotify.com/track/0KwacLrMLP6sbcuWdt6eKZ,https://i.scdn.co/image/ab67616d0000b2732d24252fe828cfa642417462
love love love theclovers,https://open.spotify.com/track/171za6Cl2laHhgHsDLcAPK,No album art found
it might as well be spring johnnymathis,https://open.spotify.com/track/3ECv8YYHCilNPpCtKWFcNA,https://i.scdn.co/image/ab67616d0000b273e5a3d1258466fac94bfd755f
at your beck and call theplatters,No results found,https://i.scdn.co/image/ab67616d0000b273cbc5ae09e919dcec56800ba4
september in the rain theplatters,https://open.spotify.com/track/2FkCjtQ1lYsf71s2FAS8hE,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
i give you my word theplatters,https://open.spotify.com/track/1P6ClnjGi6RK6vGZj8LsSQ,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
more jerryvale,https://open.spotify.com/track/0PZ1AWdVMLOgbPTlvd6cKJ,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
summertime in venice jerryvale,https://open.spotify.com/track/2fabrKKuEnFPqpeF8s0h6O,https://i.scdn.co/image/ab67616d0000b27349b2d6f2c921c4ef55f22aef
