index,artist_name,track_name,release_date,genre,lyrics,topic,spotify_link,image_link,,,
0,mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,sadness,https://open.spotify.com/track/4LABao9yb34GfjbrJdp1Gb,https://i.scdn.co/image/ab67616d0000b273abdad47634b0d1f6dc723251,,,
1,frankielaine,i believe,1950,pop,believe drop rain fall grow believe darkest night candle glow believe go astray come believe believe believe smallest prayer hear believe great hear word time hear bear baby touch leaf believe believe believe lord heaven guide sin hide believe calvary die pierce believe death rise meet heaven loud amen know believe,world/life,https://open.spotify.com/track/3FzkbFgVGdg4zqyCMzUPM7,https://i.scdn.co/image/ab67616d0000b273e193efeea55d100fad133fce,,,
2,johnnieray,cry,1950,pop,sweetheart send letter goodbye secret feel better wake dream think real false emotions feel heartaches hang long blue get bluer song remember cloudy hair,music,https://open.spotify.com/track/4wnFpRgQu2gLN8d76dYOGr,https://i.scdn.co/image/ab67616d0000b27320b60e3979d942241c933294,,,
3,pérezprado,patricia,1950,pop,kiss lips want stroll charm mambo chacha meringue heaven arm japan brag geisha care long uncle eye starry sort gleam like million dollar dream come true everybody wish steal heart away guess try eye starry sort gleam like million dollar dream come true kiss lips want stroll charm japan brag geisha care long uncle,romantic,https://open.spotify.com/track/2bwhOdCOLgQ8v6xStAqnju,https://i.scdn.co/image/ab67616d0000b2733c5cd1123694baa75c07138d,,,
4,giorgospapadopoulos,apopse eida oneiro,1950,pop,till darling till matter know till dream live apart know hearts till world free oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till,romantic,https://open.spotify.com/track/4ca9GU42IT0yopmYwua3J9,https://i.scdn.co/image/ab67616d0000b273684f5e49640a3d2ff51a50b8,,,
5,perrycomo,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,convoy light dead ahead merchantmen trump diesels hammer oily kill grind knuckle white eye alight slam hatch deadly night cunning chicken lair hound hell devil care run silent run deep final prayer warriors secret sleep merchantman nightmare silent death lie wait run silent run deep sink final sleep chill hearts fight open ocean wonder lethal silver fish boat shiver cast millions play killer victim fool obey order rehearse lifeboat shatter hull tear black smell burn jones eye watch crosswire tube ready medal chest weeks dead like rest run silent run deep final prayer warriors secret sleep merchantman nightmare,violence,https://open.spotify.com/track/1pBJCt9keWDrIQYu51T6py,https://i.scdn.co/image/ab67616d0000b273c143b8172ccb7ac602cffec5,,,
6,freestyle,opm medley: when i met you,1950,pop,piece mindin world knowin life come bring give world know give reason feelin give mean life go exist begin touch hair look eye know know good sure endure light world care away ache give reason feelin give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan iyong katangian damdamin ibangiba kapag kapiling sinta bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala bakit ganyan kung minsan nauutal kaba kapag kausap ngunit lumalakas loob kung ikaw nakatawa bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala think inlove feel restless inside want want thoughts night mind think think think single single night single moment life want spend think think think tell care tell tell feel word explain happen fast exactly feel right know long madness cause think think think single single night single moment life want spend think think think tell care tell tell feel medley give reason feelin give mean life go exist begin give reason feelin give mean life go exist begin think inlove,world/life,https://open.spotify.com/track/0hULMf7oqrHYIFh3fh4nFa,https://i.scdn.co/image/ab67616d0000b2731d7b563b9f5e0db7e8d43f21,,,
7,johnnymathis,it's not for me to say,1950,pop,care moment hold fast press lips dream heaven speak share glow grow pass meet break speak share glow grow pass meet,world/life,https://open.spotify.com/track/4lFXv6eBek6kEiGYzh2mH2,https://i.scdn.co/image/ab67616d0000b273a7ff25855e1f5a865abf2fa8,,,
8,stélioskazantzídis,klapse me mana klapse me,1950,pop,lonely night surround power read mind hour night kiss lips hold tight unending real begin lonely night surround know certain flirtin night kiss lips hold tight baby maybe baby maybe,romantic,https://open.spotify.com/track/7AaxFtkinG6n5fw6ZUuxHE,https://i.scdn.co/image/ab67616d0000b273312506645d3f6bdddebf656d,,,
9,stélioskazantzídis,finito la mouzika,1950,pop,tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game half awhile half game word mouth swallow speak awhile word mouth game offer lose say mean right look size right tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game offer lose say mean right look size,sadness,https://open.spotify.com/track/0U9BVDV0WUlco6BG6739wN,https://i.scdn.co/image/ab67616d0000b2737241c24bb4b43be23015a64b,,,
